,Unnamed: 0,Date,Open,High,Low,Dividend,Close,Momentum 1,Shares 1,Capital 1,MonthCng 1,Momentum 2,Shares 2,Capital 2,MonthCng 2,Momentum 3,Shares 3,Capital 3,MonthCng 3,Momentum 4,Shares 4,Capital 4,MonthCng 4,Momentum 5,Shares 5,Capital 5,MonthCng 5,Momentum 6,Shares 6,Capital 6,MonthCng 6,Momentum 7,Shares 7,Capital 7,MonthCng 7,Momentum 8,Shares 8,Capital 8,MonthCng 8,Momentum 9,Shares 9,Capital 9,MonthCng 9,Momentum 10,Shares 10,Capital 10,MonthCng 10,Momentum 11,Shares 11,Capital 11,MonthCng 11,Momentum 12,Shares 12,Capital 12,MonthCng 12
0,0,1929-01-02,300.3,308.7,300.3,0.0,307.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
1,1,1929-02-01,317.5,324.2,315.6,0.0,319.7,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
2,2,1929-03-01,317.8,324.4,317.8,0.0,321.2,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
3,3,1929-04-01,304.2,304.2,294.1,0.0,300.4,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
4,4,1929-05-01,319.3,324,317.9,0.0,320.1,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
5,5,1929-06-01,297.4,301.6,296.5,0.0,299.1,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
6,6,1929-07-01,333.8,339.1,332.2,0.0,335.2,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
7,7,1929-08-01,347.7,353.3,346.4,0.0,350.6,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
8,8,1929-09-03,380.3,386.1,378.2,0.0,381.2,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
9,9,1929-10-01,343.5,345.7,336.0,0.0,342.6,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
