,Date,Close,Dividend,MomentumType,Enter
0,1931-01-02,169.8,0.0,8,0
1,1931-02-02,168.7,0.0,8,0
2,1931-03-02,184.4,0.0,8,0
3,1931-04-01,170.8,0.0,8,0
4,1931-05-01,145.6,0.0,8,0
5,1931-06-01,122.8,0.0,8,0
6,1931-07-01,152.7,0.0,8,0
7,1931-08-01,136.7,0.0,8,0
8,1931-09-01,140.1,0.0,8,0
9,1931-10-01,95.7,0.0,8,1
10,1931-11-02,104.5,0.0,8,0
11,1931-12-01,91.2,0.0,8,1
12,1932-01-02,74.6,0.0,8,1
13,1932-02-01,79.6,0.0,8,1
14,1932-03-01,81.9,0.0,8,1
15,1932-04-01,72.2,0.0,8,1
16,1932-05-02,55.4,0.0,8,1
17,1932-06-01,44.9,0.0,8,0
18,1932-07-01,44.4,0.0,8,1
19,1932-08-01,54.9,0.0,8,0
20,1932-09-01,73.7,0.0,8,0
21,1932-10-01,72.1,0.0,8,0
22,1932-11-01,60.2,0.0,8,0
23,1932-12-01,58.0,0.0,8,0
24,1933-01-03,59.3,0.0,12,0
25,1933-02-01,59.1,0.0,12,0
26,1933-03-01,52.5,0.0,12,0
27,1933-04-01,55.7,0.0,12,0
28,1933-05-01,77.8,0.0,12,1
29,1933-06-01,89.1,0.0,12,1
30,1933-07-01,100.9,0.0,12,0
31,1933-08-01,92.7,0.0,12,1
32,1933-09-01,103.7,0.0,12,0
33,1933-10-02,93.0,0.0,12,1
34,1933-11-01,89.6,0.0,12,1
35,1933-12-01,98.9,0.0,12,1
36,1934-01-02,100.4,0.0,11,0
37,1934-02-01,109.0,0.0,11,0
38,1934-03-01,103.2,0.0,11,0
39,1934-04-02,102.0,0.0,11,0
40,1934-05-01,100.6,0.0,11,0
41,1934-06-01,91.8,0.0,11,1
42,1934-07-02,94.8,0.0,11,1
43,1934-08-01,90.6,0.0,11,1
44,1934-09-01,92.6,0.0,11,0
45,1934-10-01,90.4,0.0,11,1
46,1934-11-01,93.5,0.0,11,0
47,1934-12-01,102.9,0.0,11,1
48,1935-01-02,104.5,0.0,9,1
49,1935-02-01,101.5,0.0,9,1
50,1935-03-01,103.3,0.0,9,0
51,1935-04-01,101.2,0.0,9,0
52,1935-05-01,108.7,0.0,9,0
53,1935-06-01,109.7,0.0,9,0
54,1935-07-01,118.8,0.0,9,0
55,1935-08-01,125.9,0.0,9,0
56,1935-09-03,127.3,0.0,9,1
57,1935-10-01,131.5,0.0,9,1
58,1935-11-01,141.3,0.0,9,1
59,1935-12-02,140.7,0.0,9,1
60,1936-01-02,144.1,0.0,9,1
61,1936-02-01,149.6,0.0,9,1
62,1936-03-02,154.1,0.0,9,1
63,1936-04-01,159.0,0.0,9,1
64,1936-05-01,147.1,0.0,9,1
65,1936-06-01,152.8,0.0,9,1
66,1936-07-01,158.4,0.0,9,1
67,1936-08-01,165.4,0.0,9,1
68,1936-09-01,166.4,0.0,9,1
69,1936-10-01,168.3,0.0,9,1
70,1936-11-02,176.7,0.0,9,1
71,1936-12-01,182.1,0.0,9,1
72,1937-01-02,178.5,0.0,9,1
73,1937-02-01,186.6,0.0,9,1
74,1937-03-01,187.7,0.0,9,1
75,1937-04-01,185.2,0.0,9,1
76,1937-05-01,174.4,0.0,9,1
77,1937-06-01,171.6,0.0,9,1
78,1937-07-01,170.1,0.0,9,1
79,1937-08-02,186.9,0.0,9,1
80,1937-09-01,173.1,0.0,9,0
81,1937-10-01,153.9,0.0,9,0
82,1937-11-01,135.9,0.0,9,0
83,1937-12-01,122.1,0.0,9,0
84,1938-01-03,120.6,0.0,9,0
85,1938-02-01,124.0,0.0,9,0
86,1938-03-01,130.5,0.0,9,0
87,1938-04-01,103.0,0.0,9,0
88,1938-05-02,110.1,0.0,9,0
89,1938-06-01,110.6,0.0,9,0
90,1938-07-01,136.5,0.0,9,0
91,1938-08-01,140.4,0.0,9,1
92,1938-09-01,138.4,0.0,9,1
93,1938-10-01,143.1,0.0,9,1
94,1938-11-01,151.4,0.0,9,1
95,1938-12-01,148.6,0.0,9,1
96,1939-01-03,153.6,0.0,9,1
97,1939-02-01,142.4,0.0,9,1
98,1939-03-01,147.2,0.0,9,1
99,1939-04-01,132.8,0.0,9,0
100,1939-05-01,127.8,0.0,9,0
101,1939-06-01,136.2,0.0,9,0
102,1939-07-01,131.7,0.0,9,0
