,Date,Open,High,Low,Close,Dividend,Momentum 1,Momentum 2,Momentum 3,Momentum 4,Momentum 5,Momentum 6,Momentum 7,Momentum 8,Momentum 9,Momentum 10,Momentum 11,Momentum 12
0,1/1/1928,17.76,17.76,17.26,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2/1/1928,17.53,17.63,16.95,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3/1/1928,17.3,19.28,17.3,19.28,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4/1/1928,18.91,19.75,18.91,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5/1/1928,19.83,20.44,19.36,20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6/1/1928,19.8,19.85,18.34,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7/1/1928,19.29,19.48,18.7,19.43,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8/1/1928,19.33,20.87,19.13,20.87,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9/1/1928,20.97,21.43,20.92,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10/1/1928,21.36,22,21.11,21.68,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11/1/1928,21.99,24.28,21.95,24.28,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12/1/1928,23.85,24.35,22.31,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1/1/1929,24.81,25.74,24.17,25.74,0,1,1,1,1,1,1,1,1,1,1,1,1
13,2/1/1929,25.84,25.84,24.35,25.59,0,0,1,1,1,1,1,1,1,1,1,1,1
14,3/1/1929,25.83,26.08,24.35,25.35,0,0,0,1,1,1,1,1,1,1,1,1,1
15,4/1/1929,24.88,25.94,24.63,25.94,0,1,1,1,1,1,1,1,1,1,1,1,1
16,5/1/1929,26.11,26.37,24.2,24.83,0,0,0,0,0,1,1,1,1,1,1,1,1
17,6/1/1929,25.27,27.41,25.27,27.41,0,1,1,1,1,1,1,1,1,1,1,1,1
18,7/1/1929,28.06,28.88,28.06,28.88,0,1,1,1,1,1,1,1,1,1,1,1,1
19,8/1/1929,29.56,31.71,28.38,31.71,0,1,1,1,1,1,1,1,1,1,1,1,1
20,9/1/1929,31.72,31.86,30.16,30.16,0,0,1,1,1,1,1,1,1,1,1,1,1
21,10/1/1929,29.98,30.81,20.43,24.15,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11/1/1929,22.88,22.88,17.66,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12/1/1929,20.95,22.57,20.16,21.45,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1/1/1930,21.18,22.79,21.18,22.79,0,1,1,0,0,0,0,0,0,0,0,0,0
25,2/1/1930,22.74,23.36,22.64,23.28,0,1,1,1,0,0,0,0,0,0,0,0,0
26,3/1/1930,23.36,25.14,23.36,25.14,0,1,1,1,1,1,0,0,0,0,1,0,0
27,4/1/1930,25.37,25.92,24.73,24.9,0,0,1,1,1,1,1,0,0,0,0,1,0
28,5/1/1930,23.57,24.57,22.98,24.49,0,0,0,1,1,1,1,1,0,0,0,0,0
29,6/1/1930,24.18,24.29,19.39,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7/1/1930,20.46,21.82,19.83,21.21,0,1,0,0,0,0,0,0,1,0,0,0,0
31,8/1/1930,21.52,21.52,19.88,21.37,0,1,1,0,0,0,0,0,0,1,0,0,0
32,9/1/1930,21.17,21.86,18.59,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10/1/1930,19.42,19.42,16.9,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11/1/1930,17.13,17.2,15.54,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12/1/1930,16.8,16.96,14.44,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1/1/1931,15.85,16.42,15.46,16.19,0,1,0,0,0,0,0,0,0,0,0,0,0
37,2/1/1931,16.16,18.17,16.16,18.03,0,1,1,1,1,0,0,0,0,0,0,0,0
38,3/1/1931,17.52,18.06,16.66,16.69,0,0,1,1,1,0,0,0,0,0,0,0,0
39,4/1/1931,16.52,16.72,14.37,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5/1/1931,15.06,15.44,13.02,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6/1/1931,12.2,15.35,12.2,14.83,0,1,0,0,0,0,0,0,0,0,0,0,0
42,7/1/1931,14.94,15.26,13.73,13.73,0,0,1,0,0,0,0,0,0,0,0,0,0
43,8/1/1931,13.93,14.29,13.55,13.86,0,1,0,1,0,0,0,0,0,0,0,0,0
44,9/1/1931,13.66,13.66,9.71,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10/1/1931,9.53,10.96,8.82,10.43,0,1,0,0,0,0,0,0,0,0,0,0,0
46,11/1/1931,10.5,11.52,9.31,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12/1/1931,9.38,9.38,7.72,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1/1/1932,7.56,8.92,7.55,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2/1/1932,8.23,8.84,7.5,8.29,0,1,1,0,0,0,0,0,0,0,0,0,0
50,3/1/1932,8.35,8.98,7.31,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4/1/1932,7.18,7.18,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5/1/1932,5.66,6.09,4.47,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6/1/1932,4.64,5.12,4.43,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7/1/1932,4.5,6.03,4.41,6.03,0,1,1,1,0,0,0,0,0,0,0,0,0
55,8/1/1932,5.87,8.58,5.87,8.39,0,1,1,1,1,1,1,1,1,0,0,0,0
