,Date,Open,High,Low,Close,Dividend,Momentum 1,Momentum 2,Momentum 3,Momentum 4,Momentum 5,Momentum 6,Momentum 7,Momentum 8,Momentum 9,Momentum 10,Momentum 11,Momentum 12
56,9/1/1932,8.84,9.31,7.34,8.08,0,0,1,1,1,1,1,0,1,0,0,0,0
57,10/1/1932,8.06,8.06,6.42,6.96,0,0,0,1,1,1,1,0,0,0,0,0,0
58,11/1/1932,6.76,7.68,6.48,6.55,0,0,0,0,1,1,1,1,0,0,0,0,0
59,12/1/1932,6.73,7.12,6.47,6.92,0,1,0,0,0,1,1,1,1,0,0,0,0
60,1/1/1933,6.83,7.34,6.83,6.94,0,1,1,0,0,0,1,1,1,1,0,0,0
61,2/1/1933,6.67,6.76,5.53,5.66,0,0,0,0,0,0,0,0,1,1,0,0,0
62,3/1/1933,5.77,6.93,5.65,5.85,0,1,0,0,0,0,0,0,0,1,1,1,0
63,4/1/1933,5.87,7.91,5.87,7.83,0,1,1,1,1,1,1,0,0,1,1,1,1
64,5/1/1933,8.46,9.78,8.34,9.64,0,1,1,1,1,1,1,1,1,1,1,1,1
65,6/1/1933,10.13,10.98,9.74,10.91,0,1,1,1,1,1,1,1,1,1,1,1,1
66,7/1/1933,11.62,12.2,9.65,9.95,0,0,1,1,1,1,1,1,1,1,1,1,1
67,8/1/1933,10.49,11.28,10.05,11.09,0,1,1,1,1,1,1,1,1,1,1,1,1
68,9/1/1933,10.84,11.13,9.65,9.72,0,0,0,0,1,1,1,1,1,1,1,1,1
69,10/1/1933,9.62,10.32,8.61,8.96,0,0,0,0,0,0,1,1,1,1,1,1,1
70,11/1/1933,9.12,10.23,9.12,9.88,0,1,1,0,0,0,1,1,1,1,1,1,1
71,12/1/1933,9.91,10.31,9.55,9.97,0,1,1,1,0,1,0,1,1,1,1,1,1
72,1/1/1934,10.11,11.33,9.76,11.17,0,1,1,1,1,1,1,1,1,1,1,1,1
73,2/1/1934,11.46,11.82,10.69,10.76,0,0,1,1,1,1,0,1,0,1,1,1,1
74,3/1/1934,10.72,11.07,10.42,10.62,0,0,0,1,1,1,1,0,1,0,1,1,1
75,4/1/1934,10.76,11.16,10.46,10.46,0,0,0,0,1,1,1,1,0,1,0,1,1
76,5/1/1934,10.25,10.32,9.45,9.61,0,0,0,0,0,0,0,1,0,0,0,0,0
77,6/1/1934,9.49,10.37,9.49,9.81,0,1,0,0,0,0,0,0,1,1,0,0,0
78,7/1/1934,9.66,9.99,8.36,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8/1/1934,9.01,9.52,8.69,9.15,0,1,0,0,0,0,0,0,0,0,1,0,0
80,9/1/1934,9.06,9.21,8.45,9.08,0,0,1,0,0,0,0,0,0,0,0,1,0
81,10/1/1934,8.83,9.19,8.76,8.81,0,0,0,1,0,0,0,0,0,0,0,0,0
82,11/1/1934,8.77,9.54,8.77,9.54,0,1,1,1,1,0,0,0,0,0,0,0,0
83,12/1/1934,9.41,9.56,9.02,9.5,0,0,1,1,1,1,0,0,0,0,0,0,0
84,1/1/1935,9.51,9.58,8.96,9.1,0,0,0,1,1,0,1,0,0,0,0,0,0
85,2/1/1935,9.05,9.34,8.74,8.74,0,0,0,0,0,0,0,1,0,0,0,0,0
86,3/1/1935,8.79,8.79,8.06,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4/1/1935,8.54,9.44,8.48,9.28,0,1,1,1,0,0,1,1,1,1,0,0,0
88,5/1/1935,9.27,10.07,9.27,9.58,0,1,1,1,1,1,1,1,1,1,1,0,0
89,6/1/1935,9.67,10.47,9.67,10.24,0,1,1,1,1,1,1,1,1,1,1,1,1
90,7/1/1935,10.29,11.08,10.29,11.08,0,1,1,1,1,1,1,1,1,1,1,1,1
91,8/1/1935,10.95,11.67,10.95,11.24,0,1,1,1,1,1,1,1,1,1,1,1,1
92,9/1/1935,11.36,11.92,11.26,11.59,0,1,1,1,1,1,1,1,1,1,1,1,1
93,10/1/1935,11.48,12.46,11.1,12.46,0,1,1,1,1,1,1,1,1,1,1,1,1
94,11/1/1935,12.61,13.46,12.61,12.94,0,1,1,1,1,1,1,1,1,1,1,1,1
95,12/1/1935,12.75,13.43,12.73,13.43,0,1,1,1,1,1,1,1,1,1,1,1,1
96,1/1/1936,13.4,14.31,13.4,14.31,0,1,1,1,1,1,1,1,1,1,1,1,1
97,2/1/1936,14.44,14.87,14.32,14.6,0,1,1,1,1,1,1,1,1,1,1,1,1
98,3/1/1936,14.98,15.1,14.24,14.92,0,1,1,1,1,1,1,1,1,1,1,1,1
99,4/1/1936,15.34,15.51,13.53,13.77,0,0,0,0,1,1,1,1,1,1,1,1,1
100,5/1/1936,13.82,14.45,13.82,14.4,0,1,0,0,1,1,1,1,1,1,1,1,1
101,6/1/1936,14.39,15.16,14.12,14.84,0,1,1,0,1,1,1,1,1,1,1,1,1
102,7/1/1936,14.88,16.15,14.81,15.85,0,1,1,1,1,1,1,1,1,1,1,1,1
103,8/1/1936,15.91,16.2,15.32,15.99,0,1,1,1,1,1,1,1,1,1,1,1,1
104,9/1/1936,16.01,16.29,15.75,16.01,0,1,1,1,1,1,1,1,1,1,1,1,1
105,10/1/1936,16.35,17.23,16.35,17.23,0,1,1,1,1,1,1,1,1,1,1,1,1
106,11/1/1936,17.43,17.69,16.89,17.28,0,1,1,1,1,1,1,1,1,1,1,1,1
107,12/1/1936,17.14,17.32,16.65,17.18,0,0,0,1,1,1,1,1,1,1,1,1,1
108,1/1/1937,16.93,17.96,16.93,17.77,0,1,1,1,1,1,1,1,1,1,1,1,1
109,2/1/1937,17.88,18.37,17.86,18.06,0,1,1,1,1,1,1,1,1,1,1,1,1
110,3/1/1937,18.09,18.67,17.22,17.92,0,0,1,1,1,1,1,1,1,1,1,1,1
111,4/1/1937,17.71,17.71,15.99,16.43,0,0,0,0,0,0,0,1,1,1,1,1,1
112,5/1/1937,16.47,16.73,15.62,16.26,0,0,0,0,0,0,0,0,1,1,1,1,1
113,6/1/1937,16.07,16.28,15.12,15.4,0,0,0,0,0,0,0,0,0,0,0,0,1
114,7/1/1937,15.7,17.06,15.7,16.77,0,1,1,1,0,0,0,0,0,0,1,1,1
115,8/1/1937,16.93,17.27,15.88,16.04,0,0,1,0,0,0,0,0,0,0,0,1,1
116,9/1/1937,15.36,15.46,13.2,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0
117,10/1/1937,13.72,13.72,10.76,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0
118,11/1/1937,12.08,12.08,10.17,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
119,12/1/1937,10.97,11.42,10.31,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1/1/1938,10.52,11.95,10.52,10.69,0,1,0,0,0,0,0,0,0,0,0,0,0
121,2/1/1938,10.89,11.68,10.34,11.34,0,1,1,1,0,0,0,0,0,0,0,0,0
122,3/1/1938,11.46,11.46,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4/1/1938,8.91,10.45,8.91,9.78,0,1,0,0,0,0,0,0,0,0,0,0,0
124,5/1/1938,9.85,10.63,9.27,9.27,0,0,1,0,0,0,0,0,0,0,0,0,0
125,6/1/1938,9.54,11.72,9.42,11.56,0,1,1,1,1,1,1,1,0,0,0,0,0
126,7/1/1938,11.98,12.8,11.73,12.33,0,1,1,1,1,1,1,1,1,0,0,0,0
127,8/1/1938,12.41,12.73,11.85,12.06,0,0,1,1,1,1,1,1,1,1,0,0,0
128,9/1/1938,12.26,12.41,10.99,12.24,0,1,0,1,1,1,1,1,1,1,1,0,0
129,10/1/1938,12.52,13.43,12.48,13.17,0,1,1,1,1,1,1,1,1,1,1,1,1
130,11/1/1938,13.1,13.79,12.37,12.73,0,0,1,1,1,1,1,1,1,1,1,1,1
131,12/1/1938,12.61,13.14,12.32,13.14,0,1,0,1,1,1,1,1,1,1,1,1,1
132,1/1/1939,13.08,13.23,11.53,12.3,0,0,0,0,1,1,0,1,1,1,1,1,1
133,2/1/1939,12.12,12.7,12.12,12.7,0,1,0,0,0,1,1,1,1,1,1,1,1
134,3/1/1939,12.7,13.1,10.98,10.98,0,0,0,0,0,0,0,0,0,0,1,1,1
135,4/1/1939,11.26,11.26,10.42,10.93,0,0,0,0,0,0,0,0,0,0,0,1,1
136,5/1/1939,11,11.65,10.87,11.6,0,1,1,0,0,0,0,0,0,0,0,1,1
137,6/1/1939,11.48,11.8,10.79,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0
138,7/1/1939,11,12.18,11,12.04,0,1,1,1,1,0,0,0,0,0,0,0,0
139,8/1/1939,12.16,12.16,10.86,11.18,0,0,1,0,1,1,0,0,0,0,0,0,0
140,9/1/1939,12.64,13.17,12.47,12.79,0,1,1,1,1,1,1,1,1,0,1,0,1
141,10/1/1939,12.88,13.21,12.73,12.83,0,1,1,1,1,1,1,1,1,1,0,1,0
142,11/1/1939,12.82,12.95,12.2,12.2,0,0,0,1,1,1,1,1,1,0,0,0,0
143,12/1/1939,12.29,12.46,12.19,12.46,0,1,0,0,1,1,1,1,1,1,0,1,0
144,1/1/1940,12.63,12.77,12.05,12.05,0,0,0,0,0,1,1,1,1,1,1,0,0
145,2/1/1940,12.05,12.37,12.04,12.13,0,1,0,0,0,0,1,1,1,1,1,1,0
146,3/1/1940,12.06,12.27,12,12.18,0,1,1,0,0,0,0,1,1,1,1,1,1
147,4/1/1940,12.21,12.59,12.04,12.19,0,1,1,1,0,0,0,0,1,1,1,1,1
148,5/1/1940,12.1,12.12,9.14,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6/1/1940,9.11,10.1,8.99,9.98,0,1,0,0,0,0,0,0,0,0,0,0,0
150,7/1/1940,9.85,10.33,9.85,10.29,0,1,1,0,0,0,0,0,0,0,0,0,0
151,8/1/1940,10.25,10.5,9.84,10.5,0,1,1,1,0,0,0,0,0,0,0,0,0
152,9/1/1940,10.78,10.93,10.3,10.66,0,1,1,1,1,0,0,0,0,0,0,0,0
153,10/1/1940,10.81,11.08,10.47,11.08,0,1,1,1,1,1,0,0,0,0,0,0,0
154,11/1/1940,11.08,11.39,10.56,10.57,0,0,0,1,1,1,1,0,0,0,0,0,0
155,12/1/1940,10.62,10.69,10.38,10.58,0,1,0,0,1,1,1,1,0,0,0,0,0
156,1/1/1941,10.48,10.86,10.04,10.07,0,0,0,0,0,0,0,1,1,0,0,0,0
157,2/1/1941,9.96,10.19,9.53,9.92,0,0,0,0,0,0,0,0,0,1,0,0,0
158,3/1/1941,9.77,10.1,9.76,9.96,0,1,0,0,0,0,0,0,0,0,1,0,0
159,4/1/1941,9.97,10.16,9.31,9.31,0,0,0,0,0,0,0,0,0,0,0,1,0
160,5/1/1941,9.33,9.56,9.33,9.38,0,1,0,0,0,0,0,0,0,0,0,0,1
161,6/1/1941,9.47,9.95,9.46,9.85,0,1,1,0,0,0,0,0,0,0,0,0,0
162,7/1/1941,9.89,10.47,9.89,10.39,0,1,1,1,1,1,1,0,0,0,0,0,1
163,8/1/1941,10.36,10.36,10.03,10.28,0,0,1,1,1,1,1,1,0,0,0,0,0
164,9/1/1941,10.27,10.47,10.09,10.2,0,0,0,1,1,1,1,1,1,0,0,0,0
165,10/1/1941,10.17,10.17,9.5,9.5,0,0,0,0,0,1,1,0,0,0,0,0,0
166,11/1/1941,9.59,9.66,9.12,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0
167,12/1/1941,9.07,9.38,8.37,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1/1/1942,8.89,9.09,8.81,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0
169,2/1/1942,8.84,8.97,8.46,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3/1/1942,8.47,8.6,7.98,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0
171,4/1/1942,8.05,8.2,7.47,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0
172,5/1/1942,7.71,8.18,7.71,8.15,0,1,1,0,0,0,0,0,0,0,0,0,0
173,6/1/1942,8.19,8.53,8.18,8.3,0,1,1,1,0,0,0,0,0,0,0,0,0
174,7/1/1942,8.23,8.83,8.23,8.56,0,1,1,1,1,0,0,0,0,0,0,0,0
175,8/1/1942,8.57,8.73,8.46,8.62,0,1,1,1,1,1,1,0,0,0,0,0,0
176,9/1/1942,8.62,8.9,8.54,8.85,0,1,1,1,1,1,1,1,1,1,0,0,0
177,10/1/1942,8.92,9.48,8.92,9.36,0,1,1,1,1,1,1,1,1,1,1,1,0
178,11/1/1942,9.48,9.69,9.29,9.29,0,0,1,1,1,1,1,1,1,1,1,1,1
179,12/1/1942,9.28,9.77,9.28,9.77,0,1,1,1,1,1,1,1,1,1,1,1,1
180,1/1/1943,9.92,10.44,9.89,10.44,0,1,1,1,1,1,1,1,1,1,1,1,1
181,2/1/1943,10.52,10.97,10.43,10.97,0,1,1,1,1,1,1,1,1,1,1,1,1
182,3/1/1943,10.92,11.59,10.84,11.58,0,1,1,1,1,1,1,1,1,1,1,1,1
183,4/1/1943,11.59,11.76,11.14,11.59,0,1,1,1,1,1,1,1,1,1,1,1,1
184,5/1/1943,11.82,12.05,11.7,12.05,0,1,1,1,1,1,1,1,1,1,1,1,1
185,6/1/1943,12.18,12.35,11.88,12.35,0,1,1,1,1,1,1,1,1,1,1,1,1
186,7/1/1943,12.36,12.64,11.85,11.85,0,0,0,1,1,1,1,1,1,1,1,1,1
187,8/1/1943,11.47,11.92,11.47,11.8,0,0,0,0,1,1,1,1,1,1,1,1,1
188,9/1/1943,11.84,12.24,11.78,12.08,0,1,1,0,1,1,1,1,1,1,1,1,1
189,10/1/1943,12.09,12.09,11.67,11.91,0,0,1,1,0,0,1,1,1,1,1,1,1
190,11/1/1943,11.92,11.92,10.99,11.02,0,0,0,0,0,0,0,0,0,1,1,1,1
191,12/1/1943,11.13,11.69,11.13,11.67,0,1,0,0,0,0,0,0,1,1,1,1,1
192,1/1/1944,11.66,11.94,11.66,11.85,0,1,1,0,0,1,1,0,0,1,1,1,1
193,2/1/1944,11.83,11.89,11.56,11.82,0,0,1,1,0,0,1,0,0,0,1,1,1
194,3/1/1944,11.87,12.31,11.87,12.02,0,1,1,1,1,1,0,1,1,0,0,1,1
195,4/1/1944,11.96,12.06,11.67,11.87,0,0,1,1,1,1,0,0,1,1,0,0,1
196,5/1/1944,11.96,12.35,11.95,12.35,0,1,1,1,1,1,1,1,1,1,1,1,1
197,6/1/1944,12.31,13.02,12.23,12.98,0,1,1,1,1,1,1,1,1,1,1,1,1
198,7/1/1944,13.11,13.27,12.7,12.71,0,0,1,1,1,1,1,1,1,1,1,1,1
199,8/1/1944,12.78,13.04,12.61,12.82,0,1,0,1,1,1,1,1,1,1,1,1,1
200,9/1/1944,12.86,12.86,12.35,12.74,0,0,1,0,1,1,1,1,1,1,1,1,1
201,10/1/1944,12.8,13.07,12.73,12.78,0,1,0,1,0,1,1,1,1,1,1,1,1
202,11/1/1944,12.83,12.98,12.67,12.83,0,1,1,1,1,0,1,1,1,1,1,1,1
203,12/1/1944,12.8,13.28,12.8,13.28,0,1,1,1,1,1,1,1,1,1,1,1,1
204,1/1/1945,13.33,13.69,13.21,13.47,0,1,1,1,1,1,1,1,1,1,1,1,1
205,2/1/1945,13.5,14.3,13.5,14.3,0,1,1,1,1,1,1,1,1,1,1,1,1
206,3/1/1945,14.32,14.38,13.39,13.61,0,0,1,1,1,1,1,1,1,1,1,1,1
207,4/1/1945,13.77,14.84,13.67,14.84,0,1,1,1,1,1,1,1,1,1,1,1,1
208,5/1/1945,14.79,15.11,14.62,15.01,0,1,1,1,1,1,1,1,1,1,1,1,1
209,6/1/1945,15.03,15.37,14.87,14.87,0,0,1,1,1,1,1,1,1,1,1,1,1
210,7/1/1945,15.03,15.1,14.38,14.66,0,0,0,0,1,1,1,1,1,1,1,1,1
211,8/1/1945,14.68,15.35,14.4,15.15,0,1,1,1,1,1,1,1,1,1,1,1,1
212,9/1/1945,15.51,16.05,15.51,16.05,0,1,1,1,1,1,1,1,1,1,1,1,1
213,10/1/1945,16.33,16.72,16.3,16.65,0,1,1,1,1,1,1,1,1,1,1,1,1
214,11/1/1945,16.87,17.27,16.85,17.19,0,1,1,1,1,1,1,1,1,1,1,1,1
215,12/1/1945,17.44,17.68,16.94,17.36,0,1,1,1,1,1,1,1,1,1,1,1,1
216,1/1/1946,17.25,18.67,17.23,18.57,0,1,1,1,1,1,1,1,1,1,1,1,1
217,2/1/1946,18.64,18.7,16.81,17.28,0,0,0,1,1,1,1,1,1,1,1,1,1
218,3/1/1946,17.21,18.07,17.09,18.04,0,1,0,1,1,1,1,1,1,1,1,1,1
219,4/1/1946,18.06,18.9,18.06,18.76,0,1,1,1,1,1,1,1,1,1,1,1,1
220,5/1/1946,18.62,19.25,18.26,19.18,0,1,1,1,1,1,1,1,1,1,1,1,1
221,6/1/1946,18.93,18.93,18.03,18.43,0,0,0,1,1,0,1,1,1,1,1,1,1
222,7/1/1946,18.53,18.53,17.39,17.96,0,0,0,0,0,1,0,1,1,1,1,1,1
223,8/1/1946,18.02,18.23,16.65,16.65,0,0,0,0,0,0,0,0,0,0,1,1,1
224,9/1/1946,15.46,15.99,14.33,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0
225,10/1/1946,14.92,15.3,14.12,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0
226,11/1/1946,15.07,15.33,14.13,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0
227,12/1/1946,14.44,15.5,14.44,15.3,0,1,1,1,0,0,0,0,0,0,0,0,0
228,1/1/1947,15.2,15.66,14.77,15.66,0,1,1,1,1,0,0,0,0,0,0,0,0
229,2/1/1947,15.8,16.14,15.3,15.43,0,0,1,1,1,1,0,0,0,0,0,0,0
230,3/1/1947,15.41,15.65,14.78,15.17,0,0,0,0,1,1,1,0,0,0,0,0,0
231,4/1/1947,15.23,15.23,14.09,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0
232,5/1/1947,14.79,14.85,13.77,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0
233,6/1/1947,14.5,15.24,14.39,15.21,0,1,1,1,0,0,0,1,1,1,0,0,0
234,7/1/1947,15.44,16.12,15.44,15.76,0,1,1,1,1,1,1,1,1,1,1,0,0
235,8/1/1947,15.62,15.67,15.22,15.32,0,0,1,1,1,1,0,0,1,1,1,1,0
236,9/1/1947,15.33,15.33,14.85,15.11,0,0,0,0,1,1,0,0,0,0,1,1,1
237,10/1/1947,15.16,15.79,15.16,15.43,0,1,1,0,1,1,1,1,1,0,1,1,1
238,11/1/1947,15.46,15.46,14.98,14.98,0,0,0,0,0,0,1,1,0,0,0,0,1
239,12/1/1947,15.07,15.3,14.63,15.3,0,1,0,1,0,0,1,1,1,1,0,0,1
240,1/1/1948,15.34,15.34,14.32,14.68,0,0,0,0,0,0,0,0,1,1,0,0,0
241,2/1/1948,14.71,14.71,13.85,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3/1/1948,14.07,15.08,13.84,15.08,0,1,1,0,1,0,0,0,0,0,1,1,0
243,4/1/1948,15.12,15.78,15.12,15.48,0,1,1,1,1,1,1,1,1,0,1,1,1
244,5/1/1948,15.6,16.69,15.5,16.69,0,1,1,1,1,1,1,1,1,1,1,1,1
245,6/1/1948,16.76,17.06,16.54,16.74,0,1,1,1,1,1,1,1,1,1,1,1,1
246,7/1/1948,16.85,16.92,15.72,15.85,0,0,0,1,1,1,1,1,1,1,1,1,1
247,8/1/1948,15.9,16.15,15.67,15.97,0,1,0,0,1,1,1,1,1,1,1,1,1
248,9/1/1948,16.24,16.35,15.19,15.49,0,0,0,0,0,1,1,1,1,1,1,1,1
249,10/1/1948,15.67,16.61,15.67,16.5,0,1,1,1,0,0,1,1,1,1,1,1,1
250,11/1/1948,16.7,16.7,14.75,14.75,0,0,0,0,0,0,0,0,0,1,1,0,0
251,12/1/1948,15.01,15.33,15,15.2,0,1,0,0,0,0,0,0,0,1,1,1,0
252,1/1/1949,14.95,15.61,14.95,15.22,0,1,1,0,0,0,0,0,0,0,1,1,1
253,2/1/1949,15.34,15.35,14.38,14.62,0,0,0,0,0,0,0,0,0,0,0,0,1
254,3/1/1949,14.71,15.22,14.65,15.06,0,1,0,0,1,0,0,0,0,0,0,0,0
255,4/1/1949,14.94,15.07,14.68,14.71,0,0,1,0,0,0,0,0,0,0,0,0,0
256,5/1/1949,14.85,15.02,14.19,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0
257,6/1/1949,14.14,14.16,13.55,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0
258,7/1/1949,14.34,15.06,14.34,15.04,0,1,1,1,0,1,0,0,1,0,0,0,0
259,8/1/1949,15.16,15.51,15.12,15.22,0,1,1,1,1,1,1,1,1,1,0,0,0
260,9/1/1949,15.29,15.74,15.19,15.58,0,1,1,1,1,1,1,1,1,1,1,0,1
261,10/1/1949,15.6,16.15,15.6,16.04,0,1,1,1,1,1,1,1,1,1,1,1,0
262,11/1/1949,16.2,16.33,15.75,16.06,0,1,1,1,1,1,1,1,1,1,1,1,1
263,12/1/1949,16.15,16.79,16.15,16.79,0,1,1,1,1,1,1,1,1,1,1,1,1
264,1/1/1950,16.66,17.09,16.65,17.049999,0,1,1,1,1,1,1,1,1,1,1,1,1
265,2/1/1950,17.049999,17.35,16.99,17.219999,0,1,1,1,1,1,1,1,1,1,1,1,1
266,3/1/1950,17.24,17.610001,17.07,17.290001,0,1,1,1,1,1,1,1,1,1,1,1,1
267,4/1/1950,17.34,18.07,17.34,18.07,0,1,1,1,1,1,1,1,1,1,1,1,1
268,5/1/1950,18.219999,18.780001,18.110001,18.780001,0,1,1,1,1,1,1,1,1,1,1,1,1
269,6/1/1950,18.77,19.4,17.440001,17.690001,0,0,0,1,1,1,1,1,1,1,1,1,1
