,Unnamed: 0,Date,Open,High,Low,Close,Dividend,Momentum 1,Shares 1,Capital 1,MonthCng 1,Momentum 2,Shares 2,Capital 2,MonthCng 2,Momentum 3,Shares 3,Capital 3,MonthCng 3,Momentum 4,Shares 4,Capital 4,MonthCng 4,Momentum 5,Shares 5,Capital 5,MonthCng 5,Momentum 6,Shares 6,Capital 6,MonthCng 6,Momentum 7,Shares 7,Capital 7,MonthCng 7,Momentum 8,Shares 8,Capital 8,MonthCng 8,Momentum 9,Shares 9,Capital 9,MonthCng 9,Momentum 10,Shares 10,Capital 10,MonthCng 10,Momentum 11,Shares 11,Capital 11,MonthCng 11,Momentum 12,Shares 12,Capital 12,MonthCng 12
0,0,1928-01-01,17.76,17.76,17.26,17.57,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
1,1,1928-02-01,17.53,17.63,16.95,17.26,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
2,2,1928-03-01,17.3,19.28,17.3,19.28,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
3,3,1928-04-01,18.91,19.75,18.91,19.75,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
4,4,1928-05-01,19.83,20.44,19.36,20.0,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
5,5,1928-06-01,19.8,19.85,18.34,19.14,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
6,6,1928-07-01,19.29,19.48,18.7,19.43,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
7,7,1928-08-01,19.33,20.87,19.13,20.87,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
8,8,1928-09-01,20.97,21.43,20.92,21.14,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
9,9,1928-10-01,21.36,22.0,21.11,21.68,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
10,10,1928-11-01,21.99,24.28,21.95,24.28,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
11,11,1928-12-01,23.85,24.35,22.31,24.35,0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0,0,0.0,10000.0,0.0
