,Date,Close,Dividend,MomentumType,Enter
0,1873-01-01,5.11,0.3,2,1
1,1873-02-01,5.15,0.3,2,1
2,1873-03-01,5.11,0.31,2,1
3,1873-04-01,5.04,0.31,2,0
4,1873-05-01,5.05,0.31,2,0
5,1873-06-01,4.98,0.32,2,0
6,1873-07-01,4.97,0.32,2,0
7,1873-08-01,4.97,0.32,2,0
8,1873-09-01,4.59,0.32,2,0
9,1873-10-01,4.19,0.33,2,0
10,1873-11-01,4.04,0.33,2,0
11,1873-12-01,4.42,0.33,2,1
12,1874-01-01,4.66,0.33,2,1
13,1874-02-01,4.8,0.33,2,1
14,1874-03-01,4.73,0.33,2,1
15,1874-04-01,4.6,0.33,2,0
16,1874-05-01,4.48,0.33,2,0
17,1874-06-01,4.46,0.33,2,0
18,1874-07-01,4.46,0.33,2,0
19,1874-08-01,4.47,0.33,2,1
20,1874-09-01,4.54,0.33,2,1
21,1874-10-01,4.53,0.33,2,1
22,1874-11-01,4.57,0.33,2,1
23,1874-12-01,4.54,0.33,2,1
24,1875-01-01,4.54,0.33,2,0
25,1875-02-01,4.53,0.33,2,0
26,1875-03-01,4.59,0.32,2,1
27,1875-04-01,4.65,0.32,2,1
28,1875-05-01,4.47,0.32,2,0
29,1875-06-01,4.38,0.32,2,0
30,1875-07-01,4.39,0.31,2,0
31,1875-08-01,4.41,0.31,2,1
32,1875-09-01,4.37,0.31,2,0
33,1875-10-01,4.3,0.3,2,0
34,1875-11-01,4.37,0.3,2,1
35,1875-12-01,4.37,0.3,2,1
36,1876-01-01,4.46,0.3,2,1
37,1876-02-01,4.52,0.3,2,1
38,1876-03-01,4.51,0.3,2,1
39,1876-04-01,4.34,0.3,2,0
40,1876-05-01,4.18,0.3,2,0
41,1876-06-01,4.15,0.3,2,0
42,1876-07-01,4.1,0.3,2,0
43,1876-08-01,3.93,0.3,2,0
44,1876-09-01,3.69,0.3,2,0
45,1876-10-01,3.67,0.3,2,0
46,1876-11-01,3.6,0.3,2,0
47,1876-12-01,3.58,0.3,2,0
48,1877-01-01,3.55,0.29,2,0
49,1877-02-01,3.34,0.28,2,0
50,1877-03-01,3.17,0.27,2,0
51,1877-04-01,2.94,0.26,2,0
52,1877-05-01,2.94,0.25,2,0
53,1877-06-01,2.73,0.24,2,0
54,1877-07-01,2.85,0.24,2,0
55,1877-08-01,3.05,0.23,2,1
56,1877-09-01,3.24,0.22,2,1
57,1877-10-01,3.31,0.21,2,1
58,1877-11-01,3.26,0.2,2,1
59,1877-12-01,3.25,0.19,2,0
60,1878-01-01,3.25,0.19,2,0
61,1878-02-01,3.18,0.19,2,0
62,1878-03-01,3.24,0.19,2,0
63,1878-04-01,3.33,0.19,2,1
64,1878-05-01,3.34,0.19,2,1
65,1878-06-01,3.41,0.18,2,1
66,1878-07-01,3.48,0.18,2,1
67,1878-08-01,3.45,0.18,2,1
68,1878-09-01,3.52,0.18,2,1
69,1878-10-01,3.48,0.18,2,1
